flex_score,score_category,property_use,building_sqft,address,municipality,acres,market_value,owner_name,year_built,warehouse_sqft,office_sqft,office_percentage,parcel_id,assessed_value,improvement_value,land_value,sale_date,sale_price,owner_address,has_enriched_data,has_building_data,extraction_timestamp,scrape_success,scrape_message,subarea_warehouse_sqft,subarea_office_sqft,zoning_code,property_use_code_detail,number_of_units,improvement_value_2025,improvement_value_2024,improvement_value_2023,improvement_value_2022,improvement_value_2021,land_value_2025,land_value_2024,land_value_2023,land_value_2022,land_value_2021,market_value_2025,market_value_2024,market_value_2023,market_value_2022,market_value_2021,assessed_value_current,exemption_amount,taxable_value_current,ad_valorem_tax,non_ad_valorem_tax,total_annual_tax,sales_history,5yr_appreciation,office_warehouse_ratio,tax_rate,sales_count
10.0,Excellent,WAREH/DIST TERM,22788,1310 53RD ST,MANGONIA PARK,1.2702,3000718,METROPOL LLC,1981.0,20812.0,,,44434305000140040,2517269,0,0,1436155200000.0,1200000,,False,True,2025-09-15T14:33:41.107211,True,Successfully extracted enhanced property data,20812.0,,I—INDUSTRIAL DISTRICT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2768996.0,,2768996.0,67165.0,5583.0,72748.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,32528,2646 ELECTRONICS WAY,WEST PALM BEACH,1.2855,3319825,U & ME TRANSFER INC,1984.0,32528.0,,,74434309110000480,2808653,0,0,220942800000.0,70000,,False,True,2025-09-15T14:33:43.338249,True,Successfully extracted enhanced property data,32528.0,,I—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3089518.0,,3089518.0,70395.0,8555.0,78950.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,25671,435 SOUTHERN BLVD,WEST PALM BEACH,1.2833,3955087,PALM BEACH CUSTOM CABINETS LLC,1965.0,8383.0,,,74434333000005090,2754260,0,0,991800000000.0,10,,False,True,2025-09-15T14:33:45.512358,True,Successfully extracted enhanced property data,8383.0,,I—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3029686.0,,3029686.0,72463.0,6751.0,79214.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,21585,3728 PROSPECT AVE,WEST PALM BEACH,1.2687,3049092,CHITTAM ROSWELL LLC,1985.0,18655.0,1040.0,5.3,434230080000030,2346037,0,0,1559102400000.0,2125000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,22010,1351 W 13TH ST,RIVIERA BEACH,1.2726,3122490,MERK HOLDINGS LLC,2006.0,19960.0,2050.0,9.3,56434232440000010,2544461,0,0,,0,,False,True,2025-09-15T14:33:49.942578,True,Successfully extracted enhanced property data,19960.0,2050.0,IG—GENERAL INDUSTRIAL,4800—WAREH/DIST TERM,,,,,,,,,,,,,,,,,2798907.0,,2798907.0,60851.0,5867.0,66718.0,[],,0.093,,0
10.0,Excellent,WAREH/DIST TERM,31200,1731 UPLAND RD,WEST PALM BEACH,1.3222,4609272,HAMMOND DEV GROUP LLC,1987.0,26923.0,4277.0,13.7,74434329070030062,3731226,0,0,1390798800000.0,2000000,,False,True,2025-09-15T14:33:52.087981,True,Successfully extracted enhanced property data,26923.0,4277.0,IL—INDUSTRIAL LIGHT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,4104349.0,,4104349.0,91591.0,8206.0,99796.0,[],,0.137,,0
10.0,Excellent,WAREH/DIST TERM,24840,4160 NW 1ST AVE,BOCA RATON,1.3531,4116937,SCP ALBERT LLC,1973.0,6840.0,720.0,9.5,6434708160010040,4116937,0,0,1664424000000.0,6774500,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,20873,101 W GLADES RD,BOCA RATON,1.3072,3534119,GLADES EAST LLC,1942.0,512.0,8512.0,94.3,6434717110040010,2488277,0,0,1161057600000.0,1756590,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,27958,1880 OKEECHOBEE RD,WEST PALM BEACH,1.35474845,4220111,SAX WILLIAM L TR,1996.0,8000.0,2886.0,26.5,74434329280020000,3395634,0,0,,0,,False,True,2025-09-15T14:33:58.781524,True,Successfully extracted enhanced property data,17072.0,2886.0,IL—INDUSTRIAL LIGHT,4800—WAREH/DIST TERM,,,,,,,,,,,,,,,,,3735197.0,,3735197.0,83257.0,7353.0,90610.0,[],,0.145,,0
10.0,Excellent,WAREH/DIST TERM,32890,3601 N DIXIE HWY,BOCA RATON,1.3637,4452361,N DIXIE COMMERCE CENTER LTD,1987.0,21650.0,9140.0,29.7,6434708040410010,3442869,0,0,895204800000.0,1433300,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,26069,134 NW 16TH ST,BOCA RATON,1.3496,3767079,SOUTHERN STATE PROPERTIES INC,1940.0,5406.0,8144.0,60.1,6434717290130170,3767079,0,0,917326800000.0,659600,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,22377,2010 SEABIRD WAY,RIVIERA BEACH,1.3502,3732299,SEABIRD HOLDINGS LLC,1992.0,15618.0,3402.0,17.9,56434230160000100,3633571,0,0,1458792000000.0,2800000,,False,True,2025-09-15T14:34:05.384897,True,Successfully extracted enhanced property data,22377.0,3357.0,I-PUD—INDUSTRIAL PUD,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3996928.0,,3996928.0,84600.0,5482.0,90082.0,[],,0.13,,0
10.0,Excellent,WAREH/DIST TERM,20400,1200 W 15TH ST,RIVIERA BEACH,1.1686,1749129,1200 W 15TH STREET LLC,1980.0,19140.0,1260.0,6.2,56434229430000040,1427873,0,0,1462766400000.0,1475000,,False,True,2025-09-15T14:34:07.598484,True,Successfully extracted enhanced property data,19140.0,1260.0,IL—LIMITED INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,1570660.0,,1570660.0,36112.0,4998.0,41110.0,[],,0.062,,0
10.0,Excellent,WAREH/DIST TERM,21000,2400 NW 2ND AVE,BOCA RATON,1.1534,2680590,ECKOLS SEVENTY FIVE LTD,1971.0,6616.0,384.0,5.5,6434717020000050,2261287,0,0,252478800000.0,292500,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,29485,819 SW 17TH AVE,DELRAY BEACH,1.1867,2845412,KOLO 12 LLC,1972.0,7760.0,,,12434620050010130,2845412,0,0,1685592000000.0,4500000,,False,True,2025-09-15T14:34:12.053249,True,Successfully extracted enhanced property data,7760.0,,I—I - INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3114128.0,,3114128.0,57461.0,7154.0,64615.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,23042,1097 JUPITER PARK LN 1,JUPITER,1.3775,4872969,1097 JUPITER PARK PROPERTY OWNER LLC,2000.0,105.0,4841.0,97.9,30424109000001300,4606087,0,0,1635739200000.0,5000000,,False,True,2025-09-15T14:34:14.253547,True,Successfully extracted enhanced property data,23042.0,4841.0,I1—INDUSTRIAL PARK LIGHT INDUSTRY,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,5066696.0,,5066696.0,88822.0,7840.0,96662.0,[],,0.174,,0
10.0,Excellent,WAREH/DIST TERM,24540,3821 FISCAL CT,RIVIERA BEACH,1.4093,3332513,CJJS HOLDINGS LLC,1987.0,4300.0,1677.0,28.1,56434219100000022,2690340,0,0,1124942400000.0,2024000,,False,True,2025-09-15T14:34:16.428675,True,Successfully extracted enhanced property data,18563.0,1677.0,IL—LIMITED INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2959374.0,,2959374.0,66382.0,4959.0,71340.0,[],,0.083,,0
10.0,Excellent,WAREH/DIST TERM,20820,5307 EAST AVE,MANGONIA PARK,1.4103,1941264,5307 LLC,1985.0,20820.0,,,44434305220000140,1633794,0,0,1135314000000.0,0,,False,True,2025-09-15T14:34:18.613831,True,Successfully extracted enhanced property data,20820.0,,I—INDUSTRIAL DISTRICT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,1797173.0,,1797173.0,44397.0,5101.0,49498.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,21390,155 NW 20TH ST,BOCA RATON,1.3939,4464934,DESHIELDS GROUP INC,1999.0,19908.0,,,6434717300010011,3429716,0,0,1093579200000.0,500000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,23574,2300 WITT ST,WEST PALM BEACH,1.4109,3460324,JOHNSTONE WITT LLC,1970.0,10428.0,2244.0,17.7,74434329070020030,3041947,0,0,1630555200000.0,3700000,,False,True,2025-09-15T14:34:23.105077,True,Successfully extracted enhanced property data,10428.0,2244.0,IL—INDUSTRIAL LIGHT,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3346142.0,,3346142.0,73043.0,6200.0,79243.0,[],,0.177,,0
10.0,Excellent,WAREH/DIST TERM,22832,2960 NW COMMERCE PARK DR,BOYNTON BEACH,1.4112,2893705,HELENA CHEMICAL COMPANY,1990.0,17000.0,2832.0,14.3,8434516250000220,2130521,0,0,1350446400000.0,1612500,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,24591,1800 NW 1ST CT,BOCA RATON,1.4,4193009,PRONYK DEBRA J TRUST &,1996.0,,2470.0,,6434717110030050,3552974,0,0,1568347200000.0,10,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,26082,763 N ALTERNATE A1A A,JUPITER,1.4131,3897602,J E M LAND HOLDINGS LLC,1966.0,1680.0,1092.0,39.4,30434106000020390,3196337,0,0,1578027600000.0,4160000,,False,True,2025-09-15T14:34:29.794011,True,Successfully extracted enhanced property data,10911.0,108.0,C2—COMMERCIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3515971.0,,3515971.0,64449.0,6390.0,70839.0,[],,0.01,,0
10.0,Excellent,WAREH/DIST TERM,20800,1100 W 17TH ST,RIVIERA BEACH,1.4222,2083616,CODISCO INTERNATIONAL INC,1979.0,19080.0,1720.0,8.3,56434228310150130,1579774,0,0,901944000000.0,312500,,False,True,2025-09-15T14:34:31.974863,True,Successfully extracted enhanced property data,19080.0,1720.0,IL—LIMITED INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,1737751.0,,1737751.0,40716.0,5096.0,45812.0,[],,0.083,,0
10.0,Excellent,WAREH/DIST TERM,21650,70 NW 8TH ST,BOCA RATON,1.4025,2328353,DEEBO BUILDING CORP,1964.0,,,,6434719310340020,1656238,0,0,,0,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,30000,2606 ELECTRONICS WAY,WEST PALM BEACH,1.4229,3236406,U & ME TRANSFER INC,1974.0,30000.0,,,74434309110000521,2710312,0,0,126248400000.0,27200,,False,True,2025-09-15T14:34:36.736225,True,Successfully extracted enhanced property data,30000.0,,I—INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2981343.0,,2981343.0,69107.0,7890.0,76997.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,28380,1420 SW 30TH AVE,BOYNTON BEACH,1.4152,3204900,1420 HOLDINGS,1985.0,27564.0,300.0,1.1,8434605080000040,2505380,0,0,933825600000.0,1205000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,31968,1630 CLARE AVE,WEST PALM BEACH,1.3685,4127346,JAMCO INC,2003.0,8640.0,,,74434328090130320,3438150,0,0,,0,,False,True,2025-09-15T14:34:41.118567,True,Successfully extracted enhanced property data,8640.0,,CPD—COMMERCIAL PLANNED DEV,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,3783659.0,,3783659.0,82830.0,8408.0,91237.0,[],,,,0
10.0,Excellent,WAREH/DIST TERM,24707,6515 SOUTHERN BLVD,WEST PALM BEACH,1.3895,3313912,6515 SOUTHERN BLVD LLC,1984.0,24707.0,,,424327050051652,2480111,0,0,1140498000000.0,1900000,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10.0,Excellent,WAREH/DIST TERM,21200,6714 WHITE DR,RIVIERA BEACH,1.3913,2739507,SILENT STORM ENTERPRISES LLC,1985.0,19496.0,792.0,3.9,56424236020030015,2267873,0,0,1418965200000.0,1375000,,False,True,2025-09-15T14:34:45.517330,True,Successfully extracted enhanced property data,19496.0,792.0,IG—GENERAL INDUSTRIAL,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2494660.0,,2494660.0,54819.0,5249.0,60068.0,[],,0.039,,0
10.0,Excellent,WAREH/DIST TERM,26456,1942 8TH AVE N,LAKE WORTH,1.3977,2911622,AGMS HOLDINGS INC,1960.0,14385.0,435.0,2.9,38434421070000350,2191456,0,0,1531454400000.0,2300000,,False,True,2025-09-15T14:34:47.686642,True,Successfully extracted enhanced property data,14385.0,1700.0,I-POC—INDUSTRIAL PARK OF COMMERCE,4800—WAREH/DIST TERM,0.0,,,,,,,,,,,,,,,,2410602.0,,2410602.0,57043.0,9686.0,66729.0,[],,0.106,,0
